epoch,train_loss,val_mae,val_rmse,val_r2,val_rp,val_mae_um,val_rmse_um,val_r2_um,val_rp_um,val_median_fold,val_within_2x,val_within_5x,val_within_10x,lr
1,0.7929,1.3286,1.7058,0.378,0.621,564.6054,1795.9568,-0.098,0.368,11.093,0.1503,0.3327,0.4723,1.0e-04
2,0.5541,1.2878,1.6726,0.402,0.646,563.2484,1793.4583,-0.095,0.376,11.019,0.1592,0.3470,0.4830,1.0e-04
3,0.4893,1.2763,1.6704,0.404,0.661,561.3389,1789.9500,-0.091,0.322,10.906,0.1664,0.3703,0.4794,9.9e-05
4,0.4565,1.2346,1.6329,0.430,0.664,558.2020,1776.3054,-0.074,0.391,10.025,0.1860,0.3649,0.4991,9.8e-05
5,0.4091,1.1549,1.5179,0.508,0.713,555.4438,1777.0586,-0.075,0.354,8.232,0.1860,0.3989,0.5331,9.8e-05
6,0.3564,1.1664,1.5526,0.485,0.709,555.3312,1769.2767,-0.066,0.349,8.733,0.2039,0.3971,0.5224,9.7e-05
7,0.3209,1.1895,1.5624,0.478,0.716,553.8348,1757.7212,-0.052,0.363,9.802,0.1914,0.3649,0.5045,9.5e-05
8,0.2788,1.1170,1.4861,0.528,0.737,551.9057,1743.1482,-0.035,0.384,8.268,0.2039,0.3936,0.5313,9.4e-05
9,0.2502,1.2043,1.5978,0.455,0.721,548.8384,1722.3268,-0.010,0.386,9.474,0.1753,0.3900,0.5098,9.2e-05
10,0.2244,1.2205,1.6295,0.433,0.712,555.9153,1727.5482,-0.016,0.316,8.437,0.1717,0.3792,0.5295,9.1e-05
11,0.2009,1.1230,1.5054,0.516,0.731,550.3733,1666.4324,0.054,0.401,7.422,0.1807,0.4329,0.5474,8.9e-05
12,0.1833,1.1236,1.5278,0.501,0.732,540.6252,1673.3396,0.047,0.403,7.015,0.1950,0.4275,0.5546,8.7e-05
13,0.1587,1.1449,1.5482,0.488,0.704,540.3423,1670.8543,0.049,0.436,7.573,0.2075,0.4186,0.5456,8.4e-05
14,0.1523,1.0692,1.4757,0.535,0.743,533.8127,1672.1211,0.048,0.419,6.138,0.2218,0.4562,0.5725,8.2e-05
15,0.1417,1.1196,1.5263,0.502,0.736,537.9535,1619.6806,0.107,0.406,7.383,0.2165,0.4204,0.5581,8.0e-05
16,0.1311,1.1417,1.5350,0.497,0.730,523.3827,1575.1418,0.155,0.478,7.761,0.1932,0.4204,0.5385,7.7e-05
17,0.1215,1.1023,1.4930,0.524,0.737,532.5500,1642.7571,0.081,0.385,6.910,0.1968,0.4258,0.5850,7.4e-05
18,0.1072,1.1238,1.5211,0.506,0.742,550.1348,1573.0673,0.157,0.440,7.381,0.1753,0.4240,0.5635,7.2e-05
19,0.1031,1.1411,1.5425,0.492,0.748,543.3874,1618.3104,0.108,0.398,7.715,0.1932,0.4061,0.5492,6.9e-05
20,0.0981,1.1098,1.5172,0.508,0.741,526.0104,1586.1135,0.143,0.456,6.767,0.2004,0.4311,0.5707,6.6e-05
21,0.0907,1.0529,1.4647,0.542,0.750,520.1329,1537.3822,0.195,0.490,5.633,0.2004,0.4526,0.5939,6.3e-05
22,0.0870,1.0625,1.4779,0.533,0.743,534.4735,1609.3914,0.118,0.451,6.312,0.2254,0.4419,0.5886,6.0e-05
23,0.0786,1.1537,1.5635,0.478,0.740,533.9763,1645.1634,0.078,0.369,6.844,0.1878,0.4150,0.5599,5.7e-05
24,0.0776,1.1077,1.5140,0.510,0.744,502.4326,1610.1884,0.117,0.423,6.247,0.1825,0.4436,0.5814,5.4e-05
25,0.0697,1.1593,1.5651,0.477,0.747,516.4765,1612.2750,0.115,0.414,7.110,0.1825,0.4240,0.5564,5.0e-05
26,0.0679,1.0899,1.5022,0.518,0.742,501.1628,1574.8832,0.155,0.452,5.796,0.2272,0.4633,0.5832,4.7e-05
27,0.0607,1.0591,1.4701,0.538,0.749,503.7677,1561.7276,0.170,0.465,5.847,0.2379,0.4633,0.5903,4.4e-05
28,0.0576,1.0775,1.5059,0.516,0.750,527.6436,1599.6414,0.129,0.462,5.710,0.2308,0.4597,0.5957,4.1e-05
29,0.0562,1.0717,1.5026,0.518,0.740,516.0050,1612.0930,0.115,0.439,5.313,0.2343,0.4848,0.6082,3.8e-05
30,0.0504,1.0549,1.4743,0.536,0.753,572.7344,1739.5733,-0.030,0.454,5.755,0.2147,0.4669,0.5939,3.5e-05
31,0.0460,1.0516,1.4778,0.533,0.749,534.6997,1620.3561,0.106,0.443,5.519,0.2290,0.4794,0.6100,3.2e-05
32,0.0462,1.0504,1.4709,0.538,0.749,530.4037,1608.1946,0.119,0.427,5.730,0.2218,0.4812,0.6064,2.9e-05
33,0.0421,1.0484,1.4577,0.546,0.749,505.0910,1565.7739,0.165,0.465,5.614,0.2165,0.4830,0.5814,2.7e-05
34,0.0405,1.0495,1.4818,0.531,0.743,506.8482,1582.2962,0.148,0.446,5.122,0.2218,0.4937,0.6136,2.4e-05
35,0.0384,1.0630,1.4747,0.535,0.754,518.7023,1584.0260,0.146,0.464,5.696,0.2326,0.4651,0.5886,2.1e-05
36,0.0342,1.0466,1.4715,0.537,0.752,528.8640,1626.9794,0.099,0.451,5.381,0.2290,0.4884,0.6136,1.9e-05
37,0.0332,1.0550,1.4719,0.537,0.754,525.6754,1611.6158,0.116,0.452,5.568,0.2326,0.4741,0.6100,1.7e-05
38,0.0346,1.0724,1.4927,0.524,0.749,537.5801,1630.5777,0.095,0.449,5.598,0.2093,0.4741,0.5921,1.4e-05
39,0.0299,1.0412,1.4692,0.539,0.749,517.1268,1595.7687,0.133,0.452,5.562,0.2504,0.4794,0.6082,1.2e-05
40,0.0316,1.0289,1.4533,0.549,0.754,532.9045,1601.2859,0.127,0.458,5.275,0.2415,0.4866,0.6190,1.0e-05
41,0.0292,1.0291,1.4480,0.552,0.754,524.0415,1600.7666,0.127,0.465,5.587,0.2397,0.4758,0.6136,8.7e-06
42,0.0274,1.0485,1.4731,0.536,0.750,532.3168,1606.8018,0.121,0.464,5.562,0.2415,0.4848,0.6118,7.1e-06
43,0.0274,1.0398,1.4662,0.541,0.751,526.5016,1599.3884,0.129,0.467,5.530,0.2397,0.4794,0.6172,5.7e-06
44,0.0254,1.0350,1.4583,0.546,0.755,533.8150,1612.4273,0.115,0.468,5.303,0.2469,0.4794,0.6279,4.5e-06
45,0.0247,1.0368,1.4621,0.543,0.753,538.0436,1622.4718,0.104,0.473,5.329,0.2415,0.4812,0.6208,3.4e-06
46,0.0246,1.0344,1.4583,0.546,0.754,533.6000,1603.2643,0.125,0.468,5.749,0.2451,0.4776,0.6225,2.6e-06
47,0.0235,1.0317,1.4560,0.547,0.754,531.4269,1593.4903,0.135,0.475,5.553,0.2397,0.4776,0.6261,1.9e-06
48,0.0252,1.0330,1.4549,0.548,0.754,520.1927,1580.0574,0.150,0.469,5.492,0.2451,0.4794,0.6261,1.4e-06
49,0.0234,1.0302,1.4528,0.549,0.754,530.1948,1592.9496,0.136,0.473,5.419,0.2397,0.4830,0.6225,1.1e-06
50,0.0228,1.0334,1.4577,0.546,0.754,523.9354,1586.1845,0.143,0.471,5.873,0.2451,0.4848,0.6208,1.0e-06

test,,0.9939,1.3787,0.652,0.809,693.2529,1994.9918,0.071,0.381,5.101,0.2406,0.4991,0.6203,
