epoch,train_loss,val_mae,val_rmse,val_r2,val_rp,val_mae_um,val_rmse_um,val_r2_um,val_rp_um,val_median_fold,val_within_2x,val_within_5x,val_within_10x,lr
1,0.7897,1.4482,1.7643,0.416,0.660,618.1122,1949.0311,-0.104,0.303,19.583,0.1091,0.2737,0.4150,1.0e-04
2,0.5606,1.3202,1.6411,0.494,0.704,615.8235,1940.7931,-0.095,0.339,15.629,0.1789,0.3023,0.4347,1.0e-04
3,0.5079,1.3134,1.6816,0.469,0.703,613.6964,1934.8550,-0.088,0.302,12.359,0.1574,0.3560,0.4723,9.9e-05
4,0.4569,1.2619,1.5858,0.528,0.737,613.5103,1938.3674,-0.092,0.268,11.787,0.1485,0.3470,0.4758,9.8e-05
5,0.4168,1.2114,1.5500,0.549,0.756,613.0485,1941.7066,-0.096,0.227,10.388,0.1682,0.3578,0.4902,9.8e-05
6,0.3748,1.2813,1.6181,0.508,0.751,614.8661,1902.2426,-0.052,0.324,12.199,0.1521,0.3435,0.4705,9.7e-05
7,0.3330,1.1774,1.5253,0.563,0.770,614.5795,1882.0331,-0.030,0.324,9.216,0.1717,0.3721,0.5152,9.5e-05
8,0.2942,1.0958,1.4433,0.609,0.785,610.4442,1881.6735,-0.029,0.335,7.018,0.1914,0.4150,0.5653,9.4e-05
9,0.2524,1.1976,1.5767,0.533,0.771,609.0927,1828.9267,0.028,0.373,8.579,0.1556,0.3775,0.5438,9.2e-05
10,0.2340,1.0990,1.4555,0.602,0.793,596.4489,1782.7157,0.076,0.430,7.308,0.1825,0.4168,0.5707,9.1e-05
11,0.2081,1.1021,1.4704,0.594,0.783,592.4725,1826.8484,0.030,0.416,7.253,0.1950,0.4329,0.5707,8.9e-05
12,0.1797,1.1120,1.4764,0.591,0.778,591.8610,1840.2810,0.016,0.396,7.407,0.1735,0.4240,0.5760,8.7e-05
13,0.1655,1.1310,1.4889,0.584,0.799,597.3524,1745.9555,0.114,0.400,7.580,0.1860,0.4204,0.5438,8.4e-05
14,0.1611,1.0615,1.4286,0.617,0.787,575.4211,1780.3271,0.079,0.456,6.440,0.2165,0.4419,0.5742,8.2e-05
15,0.1401,1.0515,1.4547,0.603,0.798,573.6365,1697.1183,0.163,0.449,5.997,0.2236,0.4669,0.6047,8.0e-05
16,0.1326,1.0509,1.4445,0.608,0.789,551.7620,1694.9917,0.165,0.452,6.059,0.2218,0.4597,0.6064,7.7e-05
17,0.1225,1.0410,1.4452,0.608,0.798,576.9302,1691.4886,0.168,0.467,5.400,0.2326,0.4794,0.6047,7.4e-05
18,0.1141,1.0612,1.4436,0.609,0.785,575.1556,1777.9229,0.081,0.375,6.549,0.2326,0.4419,0.5886,7.2e-05
19,0.1094,1.0827,1.4637,0.598,0.788,583.2798,1730.0435,0.130,0.417,6.342,0.1986,0.4436,0.5903,6.9e-05
20,0.0991,1.0975,1.4748,0.592,0.787,586.1841,1773.5123,0.086,0.377,6.576,0.2075,0.4240,0.5760,6.6e-05
21,0.0992,1.0548,1.4190,0.622,0.793,575.6677,1795.4055,0.063,0.406,6.922,0.2004,0.4490,0.5778,6.3e-05
22,0.0889,1.0681,1.4448,0.608,0.797,657.8820,1995.1689,-0.157,0.387,6.415,0.2111,0.4401,0.6047,6.0e-05
23,0.0834,1.0516,1.4190,0.622,0.798,560.2784,1731.5895,0.128,0.430,6.541,0.2254,0.4401,0.5886,5.7e-05
24,0.0787,1.0612,1.4323,0.615,0.796,576.7281,1764.2155,0.095,0.422,6.386,0.2236,0.4329,0.5814,5.4e-05
25,0.0759,1.0559,1.4436,0.609,0.809,633.6877,1863.4357,-0.009,0.467,5.717,0.2165,0.4776,0.6064,5.0e-05
26,0.0697,1.0742,1.4289,0.617,0.800,567.3959,1754.2476,0.105,0.407,6.702,0.2182,0.4275,0.5653,4.7e-05
27,0.0654,1.0278,1.4056,0.629,0.801,566.2675,1716.6580,0.143,0.458,5.455,0.2290,0.4633,0.6136,4.4e-05
28,0.0601,1.0098,1.3641,0.651,0.814,552.3549,1724.5602,0.135,0.437,5.772,0.2218,0.4615,0.5993,4.1e-05
29,0.0590,1.0348,1.3958,0.634,0.804,585.5074,1771.9176,0.087,0.441,6.061,0.2254,0.4597,0.6011,3.8e-05
30,0.0548,1.0303,1.4030,0.630,0.804,567.0793,1744.0624,0.116,0.425,6.007,0.2218,0.4526,0.6136,3.5e-05
31,0.0504,1.0141,1.3825,0.641,0.808,562.3647,1708.3267,0.152,0.453,5.367,0.2415,0.4723,0.5957,3.2e-05
32,0.0466,1.0138,1.3963,0.634,0.810,605.1646,1821.0850,0.036,0.433,5.300,0.2451,0.4794,0.6243,2.9e-05
33,0.0452,0.9989,1.3718,0.647,0.810,561.3348,1731.6791,0.128,0.434,5.340,0.2594,0.4884,0.6064,2.7e-05
34,0.0428,0.9903,1.3632,0.651,0.813,609.0179,1871.0462,-0.018,0.415,4.847,0.2397,0.5009,0.6225,2.4e-05
35,0.0397,0.9975,1.3621,0.652,0.813,583.8284,1780.4757,0.079,0.423,5.326,0.2451,0.4812,0.6011,2.1e-05
36,0.0379,0.9901,1.3497,0.658,0.817,549.5234,1698.6115,0.161,0.459,5.321,0.2487,0.4812,0.5939,1.9e-05
37,0.0356,0.9955,1.3667,0.649,0.813,554.0641,1712.0305,0.148,0.461,5.363,0.2361,0.4884,0.6118,1.7e-05
38,0.0332,0.9953,1.3600,0.653,0.812,545.6343,1712.6968,0.147,0.442,5.410,0.2200,0.4830,0.6011,1.4e-05
39,0.0318,1.0081,1.3730,0.646,0.812,559.0283,1736.9896,0.123,0.456,5.971,0.2379,0.4651,0.5939,1.2e-05
40,0.0326,1.0046,1.3700,0.648,0.812,564.7796,1736.3691,0.124,0.445,5.878,0.2343,0.4776,0.5957,1.0e-05
41,0.0310,0.9940,1.3557,0.655,0.815,561.5485,1734.1311,0.126,0.442,5.549,0.2469,0.4812,0.5850,8.7e-06
42,0.0296,0.9963,1.3617,0.652,0.814,571.8779,1744.0323,0.116,0.456,5.401,0.2361,0.4794,0.6047,7.1e-06
43,0.0275,0.9901,1.3594,0.653,0.814,579.8894,1755.4842,0.104,0.444,5.535,0.2469,0.4830,0.6047,5.7e-06
44,0.0276,0.9785,1.3407,0.663,0.819,559.3885,1715.1427,0.145,0.455,5.480,0.2540,0.4812,0.5957,4.5e-06
45,0.0258,0.9825,1.3494,0.658,0.817,565.2973,1739.7266,0.120,0.446,5.400,0.2487,0.4902,0.5939,3.4e-06
46,0.0254,0.9870,1.3558,0.655,0.816,579.9678,1770.0290,0.089,0.448,5.513,0.2451,0.4884,0.6029,2.6e-06
47,0.0250,0.9859,1.3562,0.655,0.816,573.9883,1754.1210,0.106,0.457,5.630,0.2540,0.4848,0.6029,1.9e-06
48,0.0254,0.9854,1.3562,0.655,0.816,573.9453,1753.3152,0.106,0.453,5.386,0.2558,0.4848,0.5886,1.4e-06
49,0.0235,0.9872,1.3540,0.656,0.815,561.4797,1730.3544,0.130,0.450,5.488,0.2451,0.4848,0.5868,1.1e-06
50,0.0254,0.9860,1.3561,0.655,0.816,566.8527,1750.6867,0.109,0.454,5.527,0.2522,0.4830,0.5957,1.0e-06

test,,0.9910,1.3188,0.658,0.817,488.2688,1564.1991,0.237,0.527,6.155,0.2157,0.4617,0.6168,
